Car Number,Best Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
2,78.01,25.01,25.02,25.60
81,79.29,25.03,25.03,25.11
24,81.36,26.55,25.05,25.07
11,81.45,25.19,25.02,25.62
44,82.15,26.57,25.13,25.38
63,82.49,25.75,25.51,25.08
20,82.85,25.77,25.25,25.51
31,83.19,25.03,25.54,25.32
1,83.55,25.10,25.82,25.28
22,84.38,25.13,25.66,25.29
3,84.39,25.14,25.25,25.38
23,85.08,25.42,25.32,26.11
4,85.25,25.13,25.86,25.84
14,85.26,25.74,25.39,26.02
10,85.30,25.04,25.40,25.11
55,85.71,25.29,25.54,25.91
18,86.76,25.31,26.64,25.64
16,88.45,25.00,25.29,25.21
27,89.67,25.25,25.97,25.52
77,94.50,25.40,26.32,25.36

Best Sector Times
Sector 1,25.00
Sector 2,25.02
Sector 3,25.07
Best Overall Lap,78.01
