Car Number,Best Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
31,79.68,25.43,28.68,25.54
20,81.53,26.22,26.08,25.35
24,83.43,25.26,26.92,26.86
1,84.99,27.27,26.12,25.75
2,85.77,25.56,25.13,30.47
44,85.77,25.04,25.34,26.29
3,86.72,25.78,25.99,31.02
11,86.79,26.76,25.36,25.06
14,86.99,28.44,27.93,25.10
23,87.02,25.96,26.33,27.17
63,88.43,25.87,25.30,25.93
27,88.95,25.46,29.43,26.60
81,91.03,25.35,25.03,27.91
55,91.39,27.62,26.63,26.08
18,91.92,27.32,25.84,26.19
22,92.94,26.46,31.54,29.73
4,92.99,25.56,31.11,25.95
77,93.87,25.53,27.41,25.52
16,95.67,25.37,25.38,26.77
10,95.87,25.80,27.09,27.41

Best Sector Times
Sector 1,25.04
Sector 2,25.03
Sector 3,25.06
Best Overall Lap,79.68
