Car Number,Best Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
18,78.75,25.13,25.07,25.17
27,80.20,25.03,25.65,25.49
55,80.37,25.25,25.70,26.55
77,80.64,25.55,25.27,25.27
20,81.41,25.52,25.46,25.04
10,81.89,26.06,25.02,25.47
44,82.25,25.16,25.13,25.29
2,82.30,26.40,26.17,25.24
24,82.37,25.15,25.64,25.07
1,82.76,25.10,25.94,25.12
11,83.27,25.44,25.68,25.12
22,83.85,25.01,25.01,25.79
81,83.95,25.08,25.20,25.25
63,84.20,25.01,25.09,25.44
4,85.01,25.12,25.03,26.32
31,85.56,25.57,25.22,26.07
16,86.58,25.31,25.25,26.33
23,87.04,25.27,25.06,26.00
14,87.15,25.01,25.09,25.05
3,88.24,25.38,26.18,25.07

Best Sector Times
Sector 1,25.01
Sector 2,25.01
Sector 3,25.04
Best Overall Lap,78.75
